"","Cell","Batch","Group","ExpLibSize","time","sizeFactor","scSTM_cluster","seurat_cluster","cidr_cluster","raceID_cluster"
"Cell1","Cell1","Batch1","Group1",46695.7931336802,2,0.765408896425135,"topic_3","5",1,1
"Cell2","Cell2","Batch1","Group5",61500.051769989,2,0.998118631547369,"topic_1","4",2,2
"Cell3","Cell3","Batch1","Group4",73518.0009489854,2,1.21390193684414,"topic_2","12",3,3
"Cell4","Cell4","Batch1","Group5",50445.5443552886,1,0.81509034388962,"topic_1","4",2,2
"Cell5","Cell5","Batch1","Group5",68133.304682518,1,1.11660364032563,"topic_1","4",2,2
"Cell6","Cell6","Batch1","Group1",79648.9778012728,2,1.29484730309564,"topic_3","5",1,1
"Cell7","Cell7","Batch1","Group5",45605.6430714616,2,0.744877612232194,"topic_1","4",2,4
"Cell8","Cell8","Batch1","Group3",46060.0427770699,2,0.760689814344076,"topic_4","10",4,5
"Cell9","Cell9","Batch1","Group2",45280.7943699792,1,0.731703508089237,"topic_5","7",2,2
"Cell10","Cell10","Batch1","Group1",52480.829063971,2,0.860642594533178,"topic_3","5",1,1
"Cell11","Cell11","Batch1","Group3",45162.5961027581,2,0.729688066783784,"topic_4","10",4,5
"Cell12","Cell12","Batch1","Group3",53681.7172991151,2,0.875701054368225,"topic_4","10",4,5
"Cell13","Cell13","Batch1","Group5",76142.9189449774,1,1.24039761644508,"topic_1","4",2,2
"Cell14","Cell14","Batch1","Group5",55031.2940439639,2,0.896183181456155,"topic_1","4",2,2
"Cell15","Cell15","Batch1","Group4",58570.8691887747,1,0.960300432092213,"topic_2","12",3,3
"Cell16","Cell16","Batch1","Group1",51743.4588108559,2,0.84982803143075,"topic_3","5",1,2
"Cell17","Cell17","Batch1","Group5",85978.7563681087,2,1.38862267375502,"topic_1","4",2,2
"Cell18","Cell18","Batch1","Group1",84468.3004825091,2,1.37208950076964,"topic_3","5",1,1
"Cell19","Cell19","Batch1","Group1",59671.9818117657,1,0.975195034910557,"topic_3","5",1,1
"Cell20","Cell20","Batch1","Group5",83927.4445328862,1,1.36694439044515,"topic_1","4",2,2
"Cell21","Cell21","Batch1","Group1",56670.1680624253,2,0.923678388858993,"topic_3","5",1,1
